Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
P Reeves,WM,42.9,75,40,110,225,SBD,Single-ply
N Gifford,SE,46.4,115,60,125,300,SBD,Single-ply
T Renaud,SE,47.1,75,45,112.5,232.5,SBD,Single-ply
E Dixon,YNE,47.1,75,42.5,110,227.5,SBD,Single-ply
F Parkin,YNE,48,70,30,117.5,217.5,SBD,Single-ply
H Whittington,SE,51.5,132.5,75,152.5,360,SBD,Single-ply
Lesley Manester,SE,51.1,132.5,72.5,145,350,SBD,Single-ply
H Hampson,YNE,51.1,122.5,60,127.5,310,SBD,Single-ply
J Thomas,WM,50.5,95,47.5,122.5,265,SBD,Single-ply
K Clarke,SW,51.9,100,40,125,265,SBD,Single-ply
S Rennie,SC,48.4,75,45,100,220,SBD,Single-ply
B Ancliff,WM,52,80,40,92.5,212.5,SBD,Single-ply
T Hollis,SM,55.3,155,87.5,160,402.5,SBD,Single-ply
Y Mcgill,SC,55,135,62.5,150,347.5,SBD,Single-ply
M Gibson,GL,55.3,95,55,140,290,SBD,Single-ply
M Woodger,SE,56,90,42.5,125,267.5,SBD,Single-ply
J Smith,GL,52.3,95,55,110,265,SBD,Single-ply
S Hall,WM,55.9,85,37.5,125,247.5,SBD,Single-ply
K Bulford,SE,54.3,65,40,95,200,SBD,Single-ply
Jackie Blasbery,EM,59.8,155,80,190,425,SBD,Single-ply
J Kattan,YNE,59.1,160,80,180,420,SBD,Single-ply
J Tregear,SW,57.8,145,72.5,167.5,385,SBD,Single-ply
G Brown,SW,58.5,117.5,57.5,122.5,297.5,SBD,Single-ply
P Roberts,GL,59.4,110,62.5,122.5,295,SBD,Single-ply
W Trubody,SM,59.5,107.5,47.5,125,280,SBD,Single-ply
M Dean,SE,66.5,160,85,160,405,SBD,Single-ply
J Wheeler,SM,67.1,150,80,155,385,SBD,Single-ply
L Doidge,SC,60.8,125,67.5,155,347.5,SBD,Single-ply
S Hudson,WM,64,120,57.5,160,337.5,SBD,Single-ply
K Dormedy,SE,61.3,115,60,142.5,317.5,SBD,Single-ply
Doreen Dowsett,NM,61.7,107.5,55,145,307.5,SBD,Single-ply
N Clarke,WM,66.2,112.5,55,125,292.5,SBD,Single-ply
E Harris,SE,69.9,170,100,175,445,SBD,Single-ply
M O'Brien,GL,70.4,152.5,77.5,172.5,402.5,SBD,Single-ply
Carole Springett,YNE,72.8,150,70,167.5,387.5,SBD,Single-ply
L Jones,WM,73.4,160,75,145,380,SBD,Single-ply
B Beattie,SE,72.5,135,72.5,125,332.5,SBD,Single-ply
D Brown,NM,74.8,112.5,77.5,140,330,SBD,Single-ply
A Saint,WM,82.5,172.5,82.5,172.5,427.5,SBD,Single-ply
B Martin,WM,110,221,95,210,525,SBD,Single-ply
Jackie Pepper,SE,93.4,172.5,92.5,185,450,SBD,Single-ply
S Mullin,NM,100,175,80,100,355,SBD,Single-ply
