Name,Tested,Age,Sex,Division,BodyWeightLBS,WeightClassLBS,Squat1LBS,Squat2LBS,Squat3LBS,Squat4LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Bench4LBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadliftLBS,TotalLBS,Equipment,Event,Place
David Forstner,No ,44,M,Master Std Gear,321.4,308+, , , , ,,-815,-815, ,, , , , , ,,,Multi-ply,BD,DQ
Lalane Burhenn,No ,42,F,Raw Womens Master,134.4,148, , , , ,,105,110,120,120,-140,205,220,235, ,235,355,Raw,BD,1
Dustin Van Sickle,No ,26,M,Raw Open,217.8,220, , , , ,,300,320,350,350, ,450,500,525, ,525,875,Raw,BD,1
Rob Marshall ,No ,46,M,Raw Master,331.2,308+, , , , ,,510,-530,-530,510,, , , , ,,510,Raw,BD,1
Rob Marshall,No ,46,M,Raw Open,331.2,308+, , , , ,,510,-530,-530,510,, , , , ,,510,Raw,BD,1
Daviana Butler,No ,22,F,Raw Womens Junior,110,114, , , , ,, , , ,, ,195,210,230,250,250,250,Raw,D,1
Reggie Ortiz,No ,18,M,Raw Teen,195.8,198, , , , ,, , , ,, ,525,550,570,580,570,570,Raw,D,1
Dylan Price,No ,21,M,Junior Std Gear,163.4,165,350,405,440, ,440,350,380,-405,380, ,500,540,-580, ,540,1360,Multi-ply,SBD,1
Ray Voigt,No ,24,M,Open Std Gear,303.2,308,405,500,520,550,520,420,-500,-525,420, ,475,550,575,-615,575,1515,Multi-ply,SBD,1
Cierra Fultz,No ,25,F,Raw Womens Open,165,165,160,195,-215, ,195,135,155,-165,155, ,210,240,260, ,260,610,Wraps,SBD,1
Juan Rodriguez,No ,23,M,Raw Open,179.4,181,325,345,365, ,365,235,250,265,265, ,375,405,425, ,425,1055,Wraps,SBD,2
Edgar Hernandez,No ,24,M,Raw Open,177,181,355,375,385, ,385,235,-245,-245,235, ,435,455,470, ,470,1090,Wraps,SBD,1
Ben Pauli,No ,28,M,Raw Open,216.8,220,460,510, , ,510,-350,350,-375,350, ,510,550,-585, ,550,1410,Wraps,SBD,1
Paquito Cruz,Yes,45,M,Raw Master,176.4,181, , , , ,,275,285,-295,285, ,475,495,510, ,510,795,Raw,BD,1
Ulises Rubio,Yes,20,M,Raw Junior,158.8,165, , , , ,, , , ,, ,405,-435,-435, ,405,405,Raw,D,1
Daniel Styczynski,Yes,24,M,Raw Open,163.6,165, , , , ,, , , ,, ,445,475,505, ,505,505,Raw,D,1
Nathan Oswald,Yes,19,M,Raw Teen,148.6,148,225,245,265, ,265,135,145,155,155, ,315,350,355, ,355,775,Wraps,SBD,1
Dan Oswald,Yes,23,M,Raw Junior,161,165,305,345,365, ,365,250,265,275,275, ,405,445,460, ,460,1100,Wraps,SBD,1
Dan Oswald,Yes,23,M,Raw Open,161,165,305,345,365, ,365,250,265,275,275, ,405,445,460, ,460,1100,Wraps,SBD,1
Rylan Bentley,Yes,19,M,Raw Teen,159.8,165,295,-310,310, ,310,235,-245,-245,235, ,-365,-365, , ,,,Wraps,SBD,DQ
Paquito Cruz,Yes,45,M,Raw Master,176.4,181,415,430,445, ,445,275,285,-295,285, ,475,495,510, ,510,1240,Wraps,SBD,1
Scott Walter,Yes,33,M,Raw Open,217.6,220,520,545,-560, ,545,330,-350,-350,330, ,650,-705,-705, ,650,1525,Wraps,SBD,1
Brett Mageli,Yes,26,M,Raw Open,235,242,475,505,-520, ,505,300,315,325,325, ,485,505,-515, ,505,1335,Wraps,SBD,1
Xavier Colter-Mosiman,Yes,21,M,Raw Junior,267,275,555,575,600, ,600,335,-350,-350,335, ,565,585,600, ,600,1535,Wraps,SBD,1
Michael Morris,Yes,32,M,Raw Open,245,275,370,-390,400, ,400,220,-230,-230,220, ,550,-580,590, ,590,1210,Wraps,SBD,2
Xavier Colter-Mosiman,Yes,21,M,Raw Open,267,275,555,575,600, ,600,335,-350,-350,335, ,565,585,600,615,600,1535,Wraps,SBD,1
Josh Naert ,Yes,16,M,Raw Teen,248,275,300,-315,315, ,315,225,245,-265,245, ,385,405,-430, ,405,965,Wraps,SBD,1
Kaitlynn Naert,Yes,13,F,Raw Womens Teen,228.6,198+,95,135,180,200,180,75,90,105,105,-120,225,240,265,275,265,550,Wraps,SBD,1
